station_name_cleaned,num_trips
48 St & 2 Ave,768
48 St & 37 Ave,6886
48 St & 5 Ave,2122
48 St & Broadway,6416
49 Ave & 21 St,20298
49 St & 25 Ave,986
49 St & 31 Ave,3191
5 Av & W 139 St,15914
5 Ave & 3 St,95022
5 Ave & 37 St,2583
5 Ave & 41 St,5301
5 Ave & 66 St,2316
5 Ave & 67 St,49
5 Ave & E 103 St,129894
5 Ave & E 126 St,25711
5 Ave & E 135 St,11993
5 Ave & E 29 St,395402
5 Ave & E 63 St,138695
5 Ave & E 72 St,81850
5 Ave & E 73 St,253911
5 Ave & E 78 St,247155
5 Ave & E 87 St,22589
5 Ave & E 88 St,218896
5 Ave & E 93 St,122180
5 Ave & W 126 St,7240
5 Ave & W 131 St,14104
5 St & 51 Ave,17751
5 St & 6 Ave,35600
5 St & Market St,7278
50 St & 30 Ave,3555
50 St & Northern Blvd,3769
51 St &  Hobart St,159
51 St & Hobart St,1737
52 St & 1 Ave,1037
52 St & 6 Ave,846
53 St & 2 Ave,2399
53 St & 4 Ave,4386
53 St & 5 Ave,1682
55 St & 5 Ave,1362
55 St & 7 Ave,2989
57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,2712
57 St & 4 Ave,2097
58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,2622
58 St & 32 Ave,1178
58 St & Pier 4,276
58th St Depot,6
59 St & 4 Ave,2712
59 St & 5 Ave,1244
6 Ave & 12 St,42669
6 Ave & 21 St,9478
6 Ave & 55 St,1108
6 Ave & 60 St,1740
6 Ave & 9 St,66612
6 Ave & Broome St,235326
6 Ave & Canal St,269234
6 Ave & Spring St,58525
6 Ave & W 33 St,557746
6 Ave & W 34 St,153190
6 Ave & W 45 St,57285
6 St & 7 Ave,53043
62 St & 4 Ave,586
62 St & Northern Blvd,6494
63 St & 5 Ave,1078
64 St & 3 Ave,446
65 St & 2 Ave,544
67 St & Erik Pl,1866
67 St & Ridge Blvd,2645
7 Ave & 20 St,5302
7 Ave & 22 St,3136
7 Ave & 40 St,3919
7 Ave & 41 St,5152
7 Ave & Central Park South,195940
7 Ave & Farragut St,1426
7 Ave & Park Pl,89965
7 St & 3 Ave,33572
7 St & 5 Ave,45836
76 St & 21 Ave,1064
78 St & 2 Ave,680
8 Ave & W 16 St,136042
8 Ave & W 27 St,29127
8 Ave & W 31 St,742755
8 Ave & W 31 St N,7804
8 Ave & W 33 St,670644
8 Ave & W 38 St,104865
8 Ave & W 49 St,28910
8 Ave & W 52 St,400577
8 St & Astoria Blvd,3391
8D Mobile 01,144
8D OPS 01,28
8D QC Station 01,19
9 Ave & W 14 St,87555
9 Ave & W 16 St,115798
9 Ave & W 18 St,270433
9 Ave & W 206 St,804
9 Ave & W 219 St,316
9 Ave & W 22 St,503672
9 Ave & W 28 St,168157
9 Ave & W 45 St,447745
9 St & 44 Rd,27664
Academy St & Nagle Ave,1189
Adam Clayton Powell Blvd & W 115 St,33831
Adam Clayton Powell Blvd & W 118 St,38808
Adam Clayton Powell Blvd & W 123 St,45787
Adam Clayton Powell Blvd & W 126 St,56170
Adam Clayton Powell Blvd & W 130 St,15798
Adam Clayton Powell Blvd & W 132 St,16704
Adam Clayton Powell Blvd & W 138 St,24249
Adam Clayton Powell Blvd & W 141 St,14894
Adam Clayton Powell Blvd & W 151 St,7019
Adams St & Prospect St,7200
Adelphi St & Myrtle Ave,131930
Adventures NYC,247
Albany Ave & Fulton St,22811
Albany St & Greenwich St,34939
Albemarle Rd & McDonald Ave,3060
Alexander Ave & E 134 St,5163
Allen St & E Houston St,98120
Allen St & Hester St,362460
Allen St & Rivington St,398772
Allen St & Stanton St,316601
Amsterdam Ave & W 119 St,40898
Amsterdam Ave & W 125 St,38403
Amsterdam Ave & W 131 St,6779
Amsterdam Ave & W 136 St,9033
Amsterdam Ave & W 152 St,5986
Amsterdam Ave & W 156 St,4552
Amsterdam Ave & W 162 St,5426
Amsterdam Ave & W 167 St,4805
Amsterdam Ave & W 172 St,4386
Amsterdam Ave & W 175 St,3937
Amsterdam Ave & W 180 St,3501
Amsterdam Ave & W 183 St,4588
Amsterdam Ave & W 186 St,1562
Amsterdam Ave & W 189 St,1764
Amsterdam Ave & W 66 St,95007
Amsterdam Ave & W 73 St,332710
Amsterdam Ave & W 79 St,158452
Amsterdam Ave & W 82 St,194896
Anderson Ave & W 164 St,1365
Andrew Ave N & Hall of Fame Tce,959
Andrews Ave S & W 179 St,1176
Anthony Ave & E 175 St,800
Anthony Ave & E Tremont Ave,1472
Apache,3
Aqueduct Ave & North St,831
Aqueduct Ave & W 190 St,909
Ashland Pl & Dekalb Ave,6913
Ashland Pl & Hanson Pl,32519
Astoria Park S & Shore Blvd,44686
Atlantic Ave & Fort Greene Pl,135284
Atlantic Ave & Furman St,177805
Audobon Ave & W 179 St,3778
Audubon Ave & Fort George Ave,1220
Audubon Ave & W 192 St,796
Ave D & E 8 St,16860
Avenue C & E 18 St,79789
Avenue D & E 10 St,31693
Avenue D & E 12 St,77268
Avenue D & E 3 St,183200
Avenue D & E 8 St,117678
Avenue D & E 8 St (home location),642
Bailey Ave & Sedgwick Ave,579
Bailey Ave & W 193 St,1432
Bainbridge Ave & Bedford Park Blvd,1433
Bainbridge Ave & E 193 St,846
Bainbridge Ave & E 196 St,813
Bainbridge Ave & E 198 St,695
Baltic St & 5 Ave,77172
Bank St & Hudson St,315259
Bank St & Washington St,258119
Banker St & Meserole Ave,83579
Barclay St & Church St,352289
Barrow St & Hudson St,465367
Barry St & Tiffany St,728
Battery Pl & Greenwich St,2156
Bay St & Court St,1897
Bayard St & Baxter St,284531
Bayard St & Leonard St,57471
Beaver St & Fayette St,21511
Beck St & Leggett Ave,2562
Bedford Ave & Bergen St,66334
Bedford Ave & Montgomery St,16185
Bedford Ave & Nassau Ave,169123
Bedford Ave & S 9 St,41086
Bedford Ave & S 9th St,4980
Bedford Park Blvd & Paul Ave,1250
Bergen Ave & E 152 St,3172
Bergen St & 4 Ave,17024
Bergen St & Flatbush Ave,80128
Bergen St & Smith St,165029
Bergen St & Vanderbilt Ave,79241
Berkeley Pl & 6 Ave,51197
Berkeley Pl & 7 Ave,96427
Berry St & N 8 St,169646
Bialystoker Pl & Delancey St,158257
Bike in Movie Night | Prospect Park Bandshell,24
Bike The Branches - Central Branch,154
Bike The Branches - Red Hook Branch,20
Bleecker St & Crosby St,32633
Bleecker St & Lafayette St,9
Boerum Pl	& Pacific St,138
Boerum Pl\t& Pacific St,16743
Boerum St & Broadway,50144
Bond St & Bergen St,62793
Bond St & Fulton St,121306
Bond St & Schermerhorn St,46285
Boone Ave & E 172 St,2196
Boston Rd & E 167 St,2362
Boston Rd & Prospect Ave,1928
Botanical Sq & Webster Ave,2342
Bradhurst Ave & W 148 St,14746
Bressler,309
Bridge St & Water St,10426
Bridge St & York St,2319
Broad St & Bridge St,118585
Broad St & Water St,2783
Broadway	& W 48 St,132
Broadway & 12 St,21471
Broadway & 49 St,1616
Broadway & 51 St,3816
Broadway & Battery Pl,328031
Broadway & Berry St,166170
Broadway & E 14 St,730818
Broadway & E 21 St,54283
Broadway & E 22 St,678845
Broadway & Ellwood St,3003
Broadway & Furman Ave,4480
Broadway & Hancock St,12468
Broadway & Kosciuszko St,18948
Broadway & Madison St,18265
Broadway & Morris St,307
Broadway & Moylan Pl,54017
Broadway & Roebling St,105365
Broadway & W 122 St,31232
Broadway & W 131 St,10136
Broadway & W 133 St,12705
Broadway & W 142 St,3159
Broadway & W 153 St,6199
Broadway & W 155 St,8534
Broadway & W 160 St,12363
Broadway & W 165 St,6401
Broadway & W 168 St,5951
Broadway & W 185 St,4122
Broadway & W 192 St,3646
Broadway & W 220 St,4042
Broadway & W 24 St,280284
Broadway & W 25 St,357770
Broadway & W 29 St,441764
Broadway & W 32 St,280088
Broadway & W 36 St,252488
Broadway & W 37 St,209034
Broadway & W 38 St,156361
Broadway & W 39 St,118129
Broadway & W 41 St,462953
Broadway & W 49 St,387190
Broadway & W 51 St,313946
Broadway & W 53 St,272304
Broadway & W 55 St,139467
Broadway & W 56 St,274465
Broadway & W 58 St,377816
Broadway & W 60 St,598750
Broadway & W 61 St,7797
Broadway & Whipple St,55023
Broadway\t& W 48 St,5545
Bronx Shore Comfort Station,4494
Brook Ave & E 138 St,6121
Brook Ave & E 141 St,2857
Brook Ave & E 148 St,4206
Brook Ave & E 157 St,3335
Brooklyn Bridge Park - Pier 2,85224
Bruckner Blvd & Bryant Ave,2835
Buchanan Pl & Grand Ave,558
Bulova Ave & Brooklyn Queens Expressway W,1859
Bus Slip & State St,174291
Bushwick Ave & Dekalb Ave,13209
Bushwick Ave & Forrest St,12639
Bushwick Ave & Furman Ave,4153
Bushwick Ave & Harman St,15495
Bushwick Ave & Linden St,11887
Bushwick Ave & McKibbin St,12849
Bushwick Ave & Powers St,64985
Bushwick Ave & Stagg St,9989
Butler St & Court St,47488
Cabrini Blvd & W 177 St,5091
Cadman Plaza E & Johnson St,24551
Cadman Plaza E & Red Cross Pl,133630
Cadman Plaza E & Tillary St,82896
Cadman Plaza W & Pierrepont St,7616
Cadman Plaza West & Montague St,80524
Calyer St & Guernsey St,2137
Calyer St & Jewel St,17106
Cambridge Pl & Gates Ave,55108
Canal St & Rutgers St,403879
Carlton Ave & Dean St,61312
Carlton Ave & Flushing Ave,74199
Carlton Ave & Park Ave,61958
Carmine St & 6 Ave,635182
