year,boro,neighborhood,station_count,ride_count
2021,Manhattan,Nolan Park,3,33876
2021,Manhattan,NoMad,2,97200
2021,Manhattan,Rose Hill,2,78985
2021,Manhattan,SoHo,5,204542
2021,Manhattan,Stuy Town,6,279926
2021,Manhattan,Sugar Hill,8,38484
2021,Manhattan,Theater District,8,372184
2021,Manhattan,Tribeca,14,427217
2021,Manhattan,Tudor City,1,18460
2021,Manhattan,Turtle Bay,8,245534
2021,Manhattan,Two Bridges,5,109774
2021,Manhattan,Union Square,3,220618
2021,Manhattan,Upper East Side,18,468179
2021,Manhattan,Upper West Side,37,1402027
2021,Manhattan,Washington Heights,22,92750
2021,Manhattan,Washington Square Village,1,51007
2021,Manhattan,West Village,12,671344
2021,Manhattan,Yorkville,16,553623
2021,Queens,Astoria,32,313615
2021,Queens,Fresh Pond Junction,2,8027
2021,Queens,Long Island City,30,355755
2021,Queens,Ridgewood,18,62995
2021,Queens,Steinway,10,81672
2021,Queens,Sunnyside,5,22017
2021,Queens,Sunnyside Gardens,2,19098
2021,Queens,Woodside,1,4345
2021,The Bronx,Bronx County,107,278042
2021,The Bronx,Claremont,1,2732
2021,The Bronx,Melrose,1,3011
2021,The Bronx,Mott Haven,2,4623
2021,The Bronx,Woodstock,1,2077
